#{"t_start": 1780697294.9244785, "env_id": "None"}
r,l,t
-0.0075,1,28.883171
-0.0425,5,28.888723
0.95,5,28.899503
-0.3225,33,28.941125
-0.1275,14,28.961536
0.9675,3,28.966681
-0.165,16,28.983357
-0.0325,3,28.985888
0.965,3,28.98841
-0.0475,6,28.993751
-0.065,7,29.003241
0.65,35,29.063003
0.8775,12,29.077037
0.9325,6,29.084571
0.8325,16,29.100516
0.785,20,29.127418
0.96,4,29.133173
0.9375,6,29.138341
0.92,7,29.152454
-0.04,5,29.159379
-0.005,1,29.160499
-0.005,2,29.165956
-0.1425,17,29.185552
-0.14,15,29.21042
-0.0675,6,29.218293
-0.055,7,29.231453
0.985,1,29.233452
0.94,5,29.240901
