#{"t_start": 1780697055.7352798, "env_id": "None"}
r,l,t
-0.1025,17,14.75004
0.4775,54,14.832578
0.955,8,14.843967
-0.0475,6,14.856848
-0.14,16,14.884135
0.675,30,14.930873
0.885,15,14.953055
-0.0275,3,14.95936
-0.0025,1,14.96174
0.7325,33,15.016125
0.96,6,15.029539
-0.06,7,15.038096
0.905,10,15.05211
-0.105,11,15.073201
0.9475,8,15.08819
0.995,1,15.090454
-0.1,7,15.109183
0.9775,2,15.110183
-0.0075,1,15.115232
-0.195,19,15.181721
0.8475,15,15.214199
-0.0225,2,15.219697
-0.0625,7,15.266119
-0.0075,1,15.394452
-0.0525,5,15.405623
0.945,5,15.414156
0.9225,10,15.480271
-0.0275,2,15.481781
-0.0375,4,15.493879
0.92,10,15.51534
0.8525,18,15.54339
0.9775,2,15.54867
0.9825,1,15.550244
0.915,10,15.56444
0.88,13,15.59554
-0.015,1,15.596898
-0.06,6,15.607593
0.6325,40,15.684741
-0.125,12,15.704127
-0.0225,4,15.712478
0.4075,55,15.820997
0.9125,9,15.840334
0.8125,17,15.876224
0.9925,1,15.877227
0.9975,1,15.878435
0.9825,2,15.882798
0.9425,12,15.903955
0.8525,13,15.927201
0.9825,4,15.936845
-0.13,16,15.969888
0.9875,1,15.969888
-0.0125,1,15.969888
0.995,1,15.978221
0.99,1,15.979518
0.8375,16,15.999219
0.94,8,16.014091
-0.0625,7,16.031953
-0.0475,5,16.039547
0.8475,14,16.059921
-0.135,16,16.086517
-0.175,15,16.111812
0.9575,3,16.116856
0.935,6,16.124273
0.845,17,16.152302
0.9725,4,16.160861
0.7725,22,16.215983
0.975,2,16.221498
-0.205,22,16.254347
-0.035,4,16.264289
0.945,6,16.273952
0.9275,6,16.289207
0.9625,5,16.298562
-0.09,10,16.320048
-0.005,1,16.324224
0.975,2,16.329082
0.875,11,16.341805
0.99,1,16.350035
0.835,17,16.379029
0.82,19,16.407586
0.9275,10,16.416161
0.8675,13,16.434017
0.9825,3,16.44187
0.9475,6,16.454008
0.9875,1,16.457116
0.8425,16,16.488174
-0.115,11,16.512204
-0.0175,2,16.513218
0.9175,11,16.526687
-0.1575,15,16.546946
-0.23,18,16.580938
0.97,4,16.586453
0.9725,3,16.589714
0.96,6,16.596044
0.9575,3,16.604335
0.88,13,16.61671
-0.0925,12,16.636498
0.9,12,16.653157
-0.025,8,16.66433
-0.0375,4,16.666529
0.8875,10,16.686804
0.9175,10,16.704262
-0.2,25,16.740312
0.0,2,16.74182
0.965,4,16.746544
0.86,14,16.766651
-0.025,3,16.768657
0.94,5,16.78076
0.9925,1,16.78076
0.8525,13,16.803103
0.86,13,16.846262
0.94,5,16.855353
0.9025,11,16.864827
-0.0775,9,16.882223
0.985,1,16.882223
0.9375,5,16.89101
-0.005,1,16.89202
-0.06,6,16.909826
0.9875,1,16.910828
0.995,2,16.915352
0.985,2,16.917362
-0.0325,4,16.926147
0.8225,19,16.960306
0.8875,15,16.982061
0.985,2,16.982061
0.925,7,16.996068
0.95,7,17.008287
0.93,6,17.016311
0.9825,2,17.023994
0.99,1,17.026261
0.9575,5,17.034323
0.9425,5,17.043314
0.73,23,17.079077
